scenario,label,budget,mean_disadvantage_before,mean_disadvantage_after,mean_reduction,top_quartile_mean_reduction,trap_dissolution_rate,benefit_capture_ratio_ready_over_trap,spatial_leakage_index,ladera_minus_valley_reduction,residual_disadvantage_gini,mean_selected_activity,mean_selected_implementation,mean_selected_trap_exposure
equity_transition,Equity-transition,20,0.20147252161705734,0.01944087008258364,0.18203165153447373,0.37428531671709464,0.9508196721311475,0.2826569306915482,0.4827815925829507,0.08307335290332563,0.9249716598100953,0.8028137336729164,0.718191855162625,0.5145045721407173
coverage_first,Coverage-first,20,0.20147252161705734,0.019468100689142027,0.1820044209279153,0.37440539974361914,0.9426229508196722,0.2825662741472547,0.4825382434227254,0.08320316930556415,0.9249532136769676,0.816526155918301,0.7112092175726097,0.5025340596193544
balanced_governance,Balanced-governance,20,0.20147252161705734,0.01950066888989677,0.18197185272716057,0.3738406045439615,0.9426229508196722,0.28299317286634434,0.48322636850528805,0.0826372821386483,0.9259627333370999,0.8162846425607982,0.7306710539535498,0.5043569364382261
mobility_hub,Mobility-hub,20,0.20147252161705734,0.020574008132101532,0.1808985134849558,0.3733128848225297,0.9344262295081968,0.28339321552338553,0.4808939699791267,0.08263093702266364,0.9215848235337893,0.875649240443896,0.6884488522144319,0.5218148825274682
market_ready,Market-ready,20,0.20147252161705734,0.02111789301689643,0.1803546286001609,0.37239691322105856,0.9426229508196722,0.28409026785720803,0.4806060673484076,0.08225900945348519,0.9173824482431875,0.5645272823017649,0.8290021490455339,0.4953024568887736
