candidate_type,candidates,mean_activity,mean_implementation,mean_trap_exposure
public_facility,1450,0.5716506492438508,0.5760358042951838,0.5543544348064798
commercial_or_activity_anchor,1189,0.34375555783217576,0.528394577197327,0.29977853928097353
parking,543,0.35016197629245205,0.655306214593762,0.39364387082998586
education,236,0.5316250624423995,0.5664843569461288,0.5192034054673373
fuel_station,171,0.27202393639666556,0.701241350124487,0.31635218956410766
university,94,0.6100365227977812,0.6512076902635773,0.47449250825958406
centrality,71,0.6691834294757237,0.46189931868155737,0.5840126340727952
sitva_node,66,0.8295924099972404,0.6674865404199373,0.5114758533929069
