rank,candidate_id,candidate_type,marginal_weighted_reduction,selection_score,scenario,scenario_label
4,cand_3020,sitva_node,10.417830696280312,0.9919262226234036,equity_transition,Equity-transition
5,cand_3116,sitva_node,9.211055629819215,0.9894023844584663,equity_transition,Equity-transition
6,cand_2787,sitva_node,8.001154945977968,0.9798458320108562,equity_transition,Equity-transition
7,cand_1998,sitva_node,5.951261306910408,0.9723369955922114,equity_transition,Equity-transition
8,cand_1502,sitva_node,4.3780619926513245,0.9689295991994193,equity_transition,Equity-transition
9,cand_2048,commercial_or_activity_anchor,3.286807183296278,0.9756409982120912,equity_transition,Equity-transition
10,cand_2089,parking,2.4242979027491613,0.9773866595519951,equity_transition,Equity-transition
11,cand_2292,sitva_node,1.974870630780598,0.9793470108183897,equity_transition,Equity-transition
12,cand_2184,sitva_node,1.5466790114746272,0.981603751566066,equity_transition,Equity-transition
13,cand_2045,public_facility,1.2930329370557048,0.9756704188907354,equity_transition,Equity-transition
14,cand_1897,sitva_node,1.1384331990599095,0.9663825369022511,equity_transition,Equity-transition
15,cand_1968,sitva_node,0.9477516923593986,0.9596478616455608,equity_transition,Equity-transition
16,cand_2044,parking,0.7774167575587776,0.9770197620916032,equity_transition,Equity-transition
17,cand_2049,parking,0.6944901093966721,0.9723715633534664,equity_transition,Equity-transition
18,cand_1996,sitva_node,0.622128947141228,0.9584249435952082,equity_transition,Equity-transition
19,cand_0243,centrality,0.5408881535501044,0.9614987251527878,equity_transition,Equity-transition
20,cand_2747,sitva_node,0.48456240655075405,0.9789673991533046,equity_transition,Equity-transition
1,cand_1997,sitva_node,13.937587121327573,0.9991620019832546,balanced_governance,Balanced-governance
2,cand_1998,sitva_node,11.058380595480173,0.998474105824958,balanced_governance,Balanced-governance
3,cand_2493,sitva_node,9.442735458807519,0.9856475530038501,balanced_governance,Balanced-governance
4,cand_3020,sitva_node,8.085929931241115,0.9702913710890877,balanced_governance,Balanced-governance
5,cand_2787,sitva_node,7.197124549764975,0.9807165767845458,balanced_governance,Balanced-governance
6,cand_3116,sitva_node,6.30560997914092,0.971748983788767,balanced_governance,Balanced-governance
7,cand_2244,sitva_node,4.813880816084054,0.9689767329239399,balanced_governance,Balanced-governance
8,cand_1502,sitva_node,3.3981159176646383,0.9849233481450366,balanced_governance,Balanced-governance
9,cand_2048,commercial_or_activity_anchor,2.54495598757112,0.9700523975150719,balanced_governance,Balanced-governance
10,cand_2747,sitva_node,1.853461518441068,0.9778097469070739,balanced_governance,Balanced-governance
11,cand_2184,sitva_node,1.5344911209385184,0.9833492200918983,balanced_governance,Balanced-governance
12,cand_1897,sitva_node,1.2237106972563014,0.9783213606922374,balanced_governance,Balanced-governance
13,cand_2089,parking,1.0042339572873344,0.9726150447835288,balanced_governance,Balanced-governance
14,cand_2045,public_facility,0.891857442195682,0.9675659346257042,balanced_governance,Balanced-governance
15,cand_1968,sitva_node,0.7219072720681609,0.963706753118619,balanced_governance,Balanced-governance
16,cand_2044,parking,0.6023532178281213,0.9690625222967173,balanced_governance,Balanced-governance
17,cand_1038,sitva_node,0.507890333745023,0.9651171394712266,balanced_governance,Balanced-governance
18,cand_1996,sitva_node,0.49238936360887714,0.9621216039009479,balanced_governance,Balanced-governance
19,cand_1896,public_facility,0.42468462517013594,0.9562677576677991,balanced_governance,Balanced-governance
20,cand_2090,parking,0.35926336857704766,0.9328331804373144,balanced_governance,Balanced-governance
